,Average clustering coefficient,Number of connected components,Size of largest connected component,Number of edges in largest connected component,Average shortest path length of largest connected component,Diameter of largest connected component
ER_np,0.014884676571424978,1,1028,7376,2.8696839042354485,4
ER_nm,0.013659380006897226,1,1028,7327,2.877462216648544,4
G,0.3043159815248051,69,955,7319,3.269421669026529,10
BA,0.05565549429209002,1,955,6636,2.709829102044848,4
WS,0.31392864513023305,1,1028,7196,3.289513864946067,5
